IMAGE_Num,Scramble,time,width,height,fix_time,Path,,,Shanaa,Raphael,Charlene,Holly,Alfred,Maria,Samantha,Katie,Mike,Marco,Tasfia,Emily
70,1,0.65,700,700,10,stim/1_stim_obj70.tif,,,clock,clock,clock,clock,clock,clock,clock,clock,clock,clock,clock,clock
26,256,0.65,700,700,10,stim/256_stim_obj26.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,clock,no idea
63,16,0.65,700,700,10,stim/16_stim_obj63.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,shoe,shoe,shoe,no idea,no idea,shoe
64,256,0.65,700,700,10,stim/256_stim_obj64.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
74,16,0.65,700,700,10,stim/16_stim_obj74.tif,,,no idea,no idea,bottle,no idea,no idea,no idea,no idea,no idea,no idea,no idea,bottle,bottle
32,64,0.65,700,700,10,stim/64_stim_obj32.tif,,,no idea,no idea,no idea,no idea,no idea,box,no idea,no idea,clock,no idea,box,no idea
16,64,0.65,700,700,10,stim/64_stim_obj16.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,kids toy,kids toy,kids toy,kids toy,no idea
78,64,0.65,700,700,10,stim/64_stim_obj78.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,drawer,no idea
55,16,0.65,700,700,10,stim/16_stim_obj55.tif,,,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather
26,4,0.65,700,700,10,stim/4_stim_obj26.tif,,,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie
2,16,0.65,700,700,10,stim/16_stim_obj2.tif,,,flower,flower,flower,no idea,flower,flower,flower,flower,flower,flower,flower,flower
41,1,0.65,700,700,10,stim/1_stim_obj41.tif,,,candle,candle,candle,candle,candle,candle,candle,candle,candle,candle,candle,candle
15,1,0.65,700,700,10,stim/1_stim_obj15.tif,,,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker
72,1,0.65,700,700,10,stim/1_stim_obj72.tif,,,soother,soother,soother,soother,soother,soother,soother,soother,soother,soother,soother,soother
13,4,0.65,700,700,10,stim/4_stim_obj13.tif,,,bench,bench,bench,bench,bench,bench,bench,bench,bench,bench,bench,bench
11,1,0.65,700,700,10,stim/1_stim_obj11.tif,,,googles,googles,googles,googles,googles,googles,googles,googles,googles,googles,googles,googles
35,1,0.65,700,700,10,stim/1_stim_obj35.tif,,,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch
41,64,0.65,700,700,10,stim/64_stim_obj41.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,soother,no idea,no idea,no idea,change,no idea
13,64,0.65,700,700,10,stim/64_stim_obj13.tif,,,bench,no idea,bench,no idea,no idea,no idea,bench,bench,bench,bench,bench,bench
30,1,0.65,700,700,10,stim/1_stim_obj30.tif,,,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs
